id,title,price,base_price,original_price,currency_id,initial_quantity,available_quantity,sold_quantity,condition,category_id,reviews_quantity,reviews_average,brand
MLA2006690998,Tv Box 4k Hdmi Android  --el Más Rápido--,70000.0,70000.0,,ARS,249,,,new,MLA352001,,,
MLA1451432065,Smart Tv Onn  Uhd Streaming Device 2° Gen 4k Color Negro,71700.0,71700.0,,ARS,563,,,new,MLA352001,,,
MLA1382798627,Google Chromecast Ultra 4k Negro,80299.0,80299.0,,ARS,372,,,new,MLA352001,,,
MLA1867531158,Google Chromecast 4 4k Ga01919 8gb 2gb + Cargador + Control,118999.0,118999.0,,ARS,380,,,new,MLA352001,,,
MLA1463076569,Xiaomi Mi Tv Stick 4k Android Google Tv Color Negro Tipo De Control Remoto De Voz,88562.0,88562.0,,ARS,21,,,new,MLA352001,,,
MLA1906611378,Smart Tv Onn  Uhd Streaming Device 2° Gen 4k Color Negro,71700.0,71700.0,,ARS,326,,,new,MLA352001,,,
MLA2005616226,Google Tv Streamer 4k Netflix Hdr 2024 Androidtv Color Blanco Tipo De Control Remoto De Voz,235708.0,235708.0,,ARS,84,,,new,MLA352001,,,
MLA2018369158,Smart Tv Onn Uhd Streaming Device 2° Gen 4k + Magls,86000.0,86000.0,,ARS,20,,,new,MLA352001,,,
MLA1946970286,Tv Box Gadnic Android 10.0 Hdmi 4k Chromecast Full Hd Color Negro Tipo De Control Remoto Estándar,59999.0,59999.0,,ARS,358,,,new,MLA352001,,,
MLA1451195339,"Google Chromecast Con Google Tv (4k) - Disfruta De Películas, Programas En Vivo En 4k Hdr - Color Nieve",185000.0,185000.0,,ARS,5,,,new,MLA352001,,,
MLA1487520626,Conversor Smart Tv Box Full Hd Android 11 2gb + 16gb Rom,152957.13,152957.13,,ARS,17,,,new,MLA352001,,,
MLA1984710792,Tv Stick Xiaomi Mi Tv 4k Hdmi Android 11 Sin Cargador,125299.0,125299.0,,ARS,273,,,new,MLA352001,,,
MLA1962297998,Smart Tv Onn 4k Uhd Streaming Device 2° Gen - Desbloqueado,75000.0,75000.0,,ARS,133,,,new,MLA352001,,,
MLA2014877044,Chromecast Tv Gen 4 - 4k Hdr. Wifi+bth+c. Remoto Sin Muñeco,109500.0,109500.0,,ARS,21,,,new,MLA352001,,,
MLA1462796143,Tivo Ipa1104hdw-01 Stream 4k Original Con Google Oficial Certificado 8gb De Almacenamiento 2gb De Ram,80709.0,80709.0,,ARS,28,,,new,MLA352001,,,
MLA2009283932,Google Chromecast 4k Gen 4 Ga01919-es Nieve 8gb Control Voz,109500.0,109500.0,,ARS,15,,,new,MLA352001,,,
MLA1391264291,Android Tv Stick Control De Voz Full Hd 16gb Con 2gb De Ram,69999.0,69999.0,,ARS,557,,,new,MLA352001,,,
